Date,Campaign_Name,Channel,Impressions,Clicks,Conversions,Cost,CTR,Conversion_Rate,ROI
2025-02-19,Winter Clearance,Facebook,30000,1800,220,995.0,6.0,12.222222222222221,121.10552763819096
2025-02-20,Holiday Promo,Instagram,22000,2860,390,925.5,13.0,13.636363636363635,321.3938411669368
2025-02-21,Black Friday,Email,16000,2880,500,475.0,18.0,17.36111111111111,952.6315789473686
2025-02-22,Summer Sale,Google,49000,3920,500,1985.0,8.0,12.755102040816327,151.88916876574308
2025-02-23,Back to School,Facebook,34000,2380,290,1360.9,7.000000000000001,12.184873949579831,113.09427584686603
2025-02-26,Holiday Promo,Google,42000,2940,370,1625.0,7.000000000000001,12.585034013605442,127.69230769230768
2025-02-27,Black Friday,TikTok,27000,1080,75,695.8,4.0,6.944444444444445,7.789594711123893
2025-02-28,Summer Sale,Facebook,36000,2160,260,1280.4,6.0,12.037037037037036,103.06154326772882
2025-03-01,Back to School,Instagram,20000,2800,420,885.0,14.000000000000002,15.0,374.57627118644064
2025-03-02,Spring Launch,Email,15000,2700,500,445.25,18.0,18.51851851851852,1022.9646266142616
2025-03-03,Winter Clearance,Google,47000,3290,430,1840.6,7.000000000000001,13.069908814589665,133.61947191133328
2025-03-04,Holiday Promo,Facebook,28000,840,25,675.0,3.0,2.976190476190476,-62.96296296296296
2025-03-05,Black Friday,Instagram,24000,3360,500,1210.9,14.000000000000002,14.880952380952381,312.9160128829796
2025-03-06,Summer Sale,TikTok,23000,690,30,520.0,3.0,4.3478260869565215,-42.30769230769231
2025-03-07,Back to School,Google,40000,2800,340,1515.75,7.000000000000001,12.142857142857142,124.31139699818571
2025-03-08,Spring Launch,Facebook,31000,2170,270,1195.5,7.000000000000001,12.442396313364055,125.84692597239649
2025-03-09,Winter Clearance,Instagram,16000,2240,310,760.25,14.000000000000002,13.839285714285715,307.76060506412364
2025-03-10,Holiday Promo,Email,18000,3240,500,495.0,18.0,15.432098765432098,910.10101010101
2025-03-11,Black Friday,Google,50000,4250,500,2000.0,8.5,11.76470588235294,150.0
2025-03-12,Summer Sale,Facebook,25000,750,18,590.0,3.0,2.4,-69.49152542372882
2025-03-13,Back to School,Instagram,27000,3510,500,1295.8,13.0,14.245014245014245,285.8620157431703
2025-03-14,Spring Launch,TikTok,30000,1800,140,920.4,6.0,7.777777777777778,52.107779226423304
2025-03-15,Winter Clearance,Email,7000,1260,250,135.75,18.0,19.841269841269842,1741.620626151013
2025-03-16,Holiday Promo,Google,45000,3150,400,1760.2,7.000000000000001,12.698412698412698,127.24690376093626
